symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
SNAP,2021-04-28,2021-04-28,62.07,57.71,63.2,229,,,2021-05-03,59.14,trail_ema,3,-0.67,-671.11,unr_pdl,5.35,7.4,1.19,exact
CRSP,2021-04-28,2021-04-28,135.61,127.91,135.25,129,,,2021-05-03,127.85,stop,3,-1.01,-1001.16,unr_pdl,5.66,3.17,0.87,exact
FUTU,2021-04-28,2021-04-28,148.17,138.03,153.52,98,,,2021-05-03,137.96,stop,3,-1.01,-1000.42,unr_ema8,9.48,2.88,0.47,exact
NET,2021-04-30,2021-04-30,84.78,82.5,88.04,432,,,2021-05-03,82.46,stop,1,-1.02,-1004.99,unr_pdl,5.2,5.39,0.36,exact
UPST,2021-05-03,2021-05-03,114.26,105.18,123.09,106,,,2021-05-04,105.13,stop,1,-1.01,-967.92,unr_ema8,10.37,2.41,0.34,exact
NET,2021-05-03,2021-05-03,84.1,82.01,88.04,459,,,2021-05-04,81.45,stop_gap,1,-1.27,-1217.62,unr_pdl,5.18,7.83,0.35,exact
DDOG,2021-05-25,2021-05-25,89.62,88.21,93.99,542,,,2021-06-03,88.17,stop,6,-1.03,-791.07,unr_pdl,5.09,10.55,0.22,exact
SNAP,2021-05-27,2021-05-27,61.1,59.39,63.2,2,,,2021-06-03,60.57,trail_ema,4,-0.31,-1.06,unr_pdl,5.12,11.37,0.5,exact
UPST,2021-05-26,2021-05-26,146.65,132.23,156.27,3,,,2021-06-09,152.35,trail_ema,9,0.4,17.1,unr_ema8,14.77,20.83,0.86,exact
GME,2021-05-20,2021-05-20,42.64,41.55,43.8,859,,,2021-06-10,55.07,trail_ema,14,11.34,10674.05,unr_ema8,9.06,5.07,0.2,exact
AMC,2021-05-24,2021-05-24,136.87,121.2,146.7,61,,,2021-06-10,427.89,trail_ema,12,18.57,17752.07,unr_ema8,9.12,4.22,1.07,exact
SNOW,2021-06-03,2021-06-03,238.55,232.79,241.22,2,,,2021-06-11,240.48,trail_ema,6,0.34,3.86,unr_ema8,5.43,1.03,0.13,exact
DKNG,2021-06-07,2021-06-07,53.54,50.2,51.92,1,,,2021-06-14,50.59,trail_ema,5,-0.88,-2.94,unr_ema8,5.52,10.49,1.28,exact
SOFI,2021-06-10,2021-06-10,23.03,21.35,24.95,763,,,2021-06-14,21.81,trail_ema,2,-0.73,-932.71,unr_pdl,8.39,3.09,0.49,exact
MRNA,2021-06-10,2021-06-10,217.11,207.21,227.71,129,,,2021-06-14,207.11,stop,2,-1.01,-1289.9,unr_pdl,5.46,3.27,0.51,exact
LCID,2021-06-11,2021-06-11,251.53,246.31,278.8,113,,,2021-06-14,246.19,stop,1,-1.02,-602.77,unr_ema8,6.4,40.59,0.31,exact
PLUG,2021-06-11,2021-06-11,31.87,31.18,34.38,11,,,2021-06-14,31.17,stop,1,-1.02,-7.69,unr_ema8,6.27,8.12,0.18,exact
FUTU,2021-06-14,2021-06-14,149.13,137.91,149.45,113,,,2021-06-16,137.84,stop,2,-1.01,-1275.89,unr_ema8,6.11,1.59,0.84,exact
NTLA,2021-06-15,2021-06-15,88.69,82.5,87.69,202,,,2021-06-16,82.46,stop,1,-1.01,-1259.01,unr_pdl,6.62,2.04,0.94,exact
MARA,2021-06-16,2021-06-16,29.98,28.83,39.68,1075,,,2021-06-18,28.82,stop,2,-1.01,-1252.99,unr_pdl,9.02,92.36,0.48,exact
RIOT,2021-06-16,2021-06-16,34.22,33.08,44.15,1065,,,2021-06-18,33.06,stop,2,-1.01,-1231.24,unr_pdl,9.85,14.12,0.15,exact
AFRM,2021-06-16,2021-06-16,67.44,65.47,79.3,5,,,2021-06-21,65.44,stop,3,-1.02,-10.02,unr_pdl,6.13,16.11,0.32,exact
SOFI,2021-06-17,2021-06-17,22.71,21.32,24.46,1,,,2021-06-22,21.31,stop,3,-1.01,-1.4,unr_ema8,7.91,3.43,0.41,exact
NET,2021-06-03,2021-06-03,81.96,80.26,88.04,578,,,2021-06-24,104.52,time_stop,15,13.26,13037.81,unr_ema8,5.38,10.74,0.26,exact
PLUG,2021-06-22,2021-06-22,34.04,30.36,34.38,1,,,2021-06-25,31.83,trail_ema,3,-0.6,-2.2,unr_ema8,5.92,5.8,1.74,exact
MARA,2021-06-24,2021-06-24,29.49,27.65,32.06,715,,,2021-06-25,28.18,trail_ema,1,-0.71,-942.97,unr_ema8,7.94,5.33,0.56,exact
MSTR,2021-06-24,2021-06-24,58.22,55.94,64.76,581,,,2021-06-25,55.92,stop,1,-1.01,-1336.84,unr_ema8,6.0,4.04,0.16,exact
CELH,2021-06-25,2021-06-25,24.14,23.26,27.67,905,,,2021-07-02,24.11,trail_ema,5,-0.03,-24.85,unr_pdl,6.69,7.17,0.21,exact
LCID,2021-06-22,2021-06-22,234.32,223.74,243.3,1,,,2021-07-06,263.67,trail_ema,9,2.78,29.35,unr_pdl,6.78,4.2,0.44,exact
RIOT,2021-06-28,2021-06-28,36.2,33.28,38.08,6,,,2021-07-06,35.41,trail_ema,5,-0.27,-4.71,unr_ema8,8.42,15.63,1.03,exact
FUTU,2021-07-02,2021-07-02,156.04,151.73,157.48,138,,,2021-07-06,141.57,stop_gap,1,-3.36,-1997.0,unr_pdl,6.33,1.2,0.17,exact
MRNA,2021-06-18,2021-06-18,199.29,194.0,227.71,236,,,2021-07-07,221.79,trail_ema,12,4.25,5309.87,unr_pdl,5.34,8.06,0.14,exact
XPEV,2021-06-25,2021-06-25,42.18,40.66,45.75,856,,,2021-07-07,40.64,stop,7,-1.01,-1316.04,unr_ema8,5.64,4.27,0.25,exact
AFRM,2021-07-06,2021-07-06,68.02,66.49,70.81,295,,,2021-07-07,66.45,stop,1,-1.02,-462.96,unr_pdl,5.5,4.26,0.19,exact
PLUG,2021-07-06,2021-07-06,32.88,31.93,34.24,7,,,2021-07-07,31.91,stop,1,-1.02,-6.73,unr_pdl,5.72,5.61,0.33,exact
DASH,2021-06-21,2021-06-21,173.3,163.09,167.23,111,,,2021-07-08,178.47,trail_ema,12,0.51,574.33,unr_pdl,6.03,3.57,1.06,exact
WULF,2021-07-07,2021-07-07,17.7,17.25,23.44,2825,,,2021-07-08,17.24,stop,1,-1.02,-1299.57,unr_pdl,15.56,60.02,0.17,exact
MSTR,2021-07-07,2021-07-07,64.02,62.14,64.76,677,,,2021-07-08,60.27,stop_gap,1,-1.99,-2537.49,unr_ema8,6.57,1.82,0.25,exact
RUN,2021-07-08,2021-07-08,52.73,49.11,59.94,339,,,2021-07-09,52.55,trail_ema,1,-0.05,-58.52,unr_ema21,6.4,2.34,0.11,exact
CRSP,2021-07-08,2021-07-08,144.88,135.02,169.76,113,,,2021-07-09,144.26,trail_ema,1,-0.06,-70.58,unr_pdl,5.57,4.94,0.52,exact
MSTR,2021-07-08,2021-07-08,61.87,59.29,64.76,475,,,2021-07-12,59.26,stop,2,-1.01,-1241.39,unr_ema21,6.17,5.48,0.48,exact
AFRM,2021-07-09,2021-07-09,67.28,63.72,69.79,353,,,2021-07-12,64.97,trail_ema,1,-0.65,-817.59,unr_ema8,5.46,1.39,0.28,exact
TTD,2021-07-08,2021-07-08,76.15,73.03,81.25,394,,,2021-07-13,76.46,trail_ema,3,0.1,123.6,unr_ema8,5.03,1.96,0.09,exact
NTLA,2021-07-08,2021-07-08,152.81,139.56,202.73,1,,,2021-07-13,143.35,trail_ema,3,-0.71,-9.46,unr_pdl,10.22,18.21,0.83,exact
RUN,2021-07-09,2021-07-09,52.61,51.27,59.94,197,,,2021-07-13,53.23,trail_ema,2,0.47,123.53,unr_ema21,6.27,6.86,0.07,exact
LCID,2021-07-12,2021-07-12,268.63,256.33,278.8,99,,,2021-07-13,258.97,trail_ema,1,-0.79,-956.72,unr_ema8,6.29,3.71,0.48,exact
WULF,2021-07-08,2021-07-08,17.55,16.81,20.98,1655,,,2021-07-14,17.38,trail_ema,4,-0.23,-282.87,unr_pdl,15.64,6.76,0.1,exact
LI,2021-07-12,2021-07-12,32.83,31.67,36.66,12,,,2021-07-14,31.66,stop,2,-1.01,-14.04,unr_ema8,6.44,5.05,0.16,exact
NTLA,2021-07-19,2021-07-19,139.01,130.19,202.73,144,,,2021-07-23,137.64,trail_ema,4,-0.16,-197.04,unr_pdl,9.8,16.52,0.35,exact
LI,2021-07-21,2021-07-21,33.43,31.27,36.66,603,,,2021-07-23,31.26,stop,2,-1.01,-1308.44,unr_ema8,6.62,13.48,0.86,exact
MRNA,2021-07-12,2021-07-12,239.46,228.62,245.7,101,,,2021-08-02,346.44,time_stop,15,9.86,10804.68,unr_ema8,5.5,4.55,0.65,exact
RUN,2021-07-30,2021-07-30,53.0,51.08,53.42,248,,,2021-08-02,51.06,stop,1,-1.01,-481.26,unr_pdl,6.4,2.15,0.36,exact
RIOT,2021-07-30,2021-07-30,32.97,31.25,34.72,763,,,2021-08-03,31.23,stop,2,-1.01,-1324.53,unr_pdl,6.96,4.48,0.52,exact
MSTR,2021-07-30,2021-07-30,62.63,60.52,64.76,620,,,2021-08-03,60.49,stop,2,-1.01,-1331.0,unr_pdl,6.1,1.99,0.19,exact
MARA,2021-08-02,2021-08-02,28.24,26.79,29.97,913,,,2021-08-03,26.78,stop,1,-1.01,-1338.58,unr_pdl,6.99,13.54,0.69,exact
RUN,2021-08-03,2021-08-03,53.62,51.84,53.42,712,,,2021-08-05,51.81,stop,2,-1.01,-1283.66,unr_ema8,6.5,8.33,0.49,exact
LI,2021-08-03,2021-08-03,32.56,31.5,34.22,3,,,2021-08-05,31.48,stop,2,-1.01,-3.22,unr_ema8,7.53,6.48,0.3,exact
