symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
FUTU,2021-04-28,2021-04-28,148.17,138.03,153.52,98,,,2021-05-03,137.96,stop,3,-1.01,-1000.42,unr_ema8,9.48,2.88,0.47,exact
SNAP,2021-04-29,2021-04-29,62.31,60.42,63.2,527,,,2021-05-03,60.39,stop,2,-1.02,-1010.08,unr_ema8,5.32,5.5,0.46,exact
NET,2021-04-30,2021-04-30,84.78,82.5,88.04,434,,,2021-05-03,82.46,stop,1,-1.02,-1009.64,unr_pdl,5.2,5.39,0.36,exact
NET,2021-05-03,2021-05-03,84.1,82.01,88.04,462,,,2021-05-04,81.45,stop_gap,1,-1.27,-1225.58,unr_pdl,5.18,7.83,0.35,exact
DDOG,2021-05-25,2021-05-25,89.62,88.21,93.99,646,,,2021-06-03,88.17,stop,6,-1.03,-942.86,unr_pdl,5.09,10.55,0.22,exact
DASH,2021-05-26,2021-05-26,141.93,135.91,140.9,4,,,2021-06-03,139.04,trail_ema,5,-0.48,-11.56,unr_ema8,7.38,2.39,0.47,exact
GME,2021-05-20,2021-05-20,42.64,41.55,43.8,874,,,2021-06-10,55.07,trail_ema,14,11.34,10860.45,unr_ema8,9.06,5.07,0.2,exact
SNOW,2021-06-03,2021-06-03,238.55,232.79,241.22,11,,,2021-06-11,240.48,trail_ema,6,0.34,21.24,unr_ema8,5.43,1.03,0.13,exact
SOFI,2021-06-10,2021-06-10,23.03,21.35,24.95,674,,,2021-06-14,21.81,trail_ema,2,-0.73,-823.91,unr_pdl,8.39,3.09,0.49,exact
LCID,2021-06-11,2021-06-11,251.53,246.31,278.8,139,,,2021-06-14,246.19,stop,1,-1.02,-741.46,unr_ema8,6.4,40.59,0.31,exact
PLUG,2021-06-11,2021-06-11,31.87,31.18,34.38,11,,,2021-06-14,31.17,stop,1,-1.02,-7.69,unr_ema8,6.27,8.12,0.18,exact
MARA,2021-06-16,2021-06-16,29.98,28.83,39.68,978,,,2021-06-18,28.82,stop,2,-1.01,-1139.93,unr_pdl,9.02,92.36,0.48,exact
RIOT,2021-06-16,2021-06-16,34.22,33.08,44.15,577,,,2021-06-18,33.06,stop,2,-1.01,-667.07,unr_pdl,9.85,14.12,0.15,exact
AFRM,2021-06-16,2021-06-16,67.44,65.47,79.3,3,,,2021-06-21,65.44,stop,3,-1.02,-6.01,unr_pdl,6.13,16.11,0.32,exact
NET,2021-06-03,2021-06-03,81.96,80.26,88.04,669,,,2021-06-24,104.52,time_stop,15,13.26,15090.47,unr_ema8,5.38,10.74,0.26,exact
MSTR,2021-06-24,2021-06-24,58.22,55.94,64.76,528,,,2021-06-25,55.92,stop,1,-1.01,-1214.89,unr_ema8,6.0,4.04,0.16,exact
CELH,2021-06-25,2021-06-25,24.14,23.26,27.67,1368,,,2021-07-02,24.11,trail_ema,5,-0.03,-37.56,unr_pdl,6.69,7.17,0.21,exact
LCID,2021-06-22,2021-06-22,234.32,223.74,243.3,86,,,2021-07-06,263.67,trail_ema,9,2.78,2524.19,unr_pdl,6.78,4.2,0.44,exact
FUTU,2021-07-02,2021-07-02,156.04,151.73,157.48,209,,,2021-07-06,141.57,stop_gap,1,-3.36,-3024.44,unr_pdl,6.33,1.2,0.17,exact
MRNA,2021-06-21,2021-06-21,208.34,199.48,227.71,129,,,2021-07-07,221.79,trail_ema,11,1.52,1734.39,unr_ema8,5.37,4.77,0.37,exact
XPEV,2021-06-25,2021-06-25,42.18,40.66,45.75,785,,,2021-07-07,40.64,stop,7,-1.01,-1206.89,unr_ema8,5.64,4.27,0.25,exact
AFRM,2021-06-30,2021-06-30,67.38,65.12,70.81,44,,,2021-07-07,65.08,stop,4,-1.01,-101.15,unr_ema8,5.79,6.7,0.41,exact
PLUG,2021-07-06,2021-07-06,32.88,31.93,34.24,1272,,,2021-07-07,31.91,stop,1,-1.02,-1223.09,unr_pdl,5.72,5.61,0.33,exact
RUN,2021-07-06,2021-07-06,56.6,55.42,59.94,189,,,2021-07-07,55.4,stop,1,-1.02,-227.07,unr_pdl,6.15,10.72,0.25,exact
MSTR,2021-07-07,2021-07-07,64.02,62.14,64.76,608,,,2021-07-08,60.27,stop_gap,1,-1.99,-2278.87,unr_ema8,6.57,1.82,0.25,exact
RUN,2021-07-08,2021-07-08,52.73,49.11,59.94,310,,,2021-07-09,52.55,trail_ema,1,-0.05,-53.52,unr_ema21,6.4,2.34,0.11,exact
