Symbol,Company,Sector,Exchange,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,PullbackDepthPct,RangeContractionPct,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
ADBE,Adobe Inc. - Common Stock,,NASDAQ,37.0,105.0,100.0,70.0,89.25,1275311637.533661,False,rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,265.0899963378906,244.27000427246094,,breakout,"Support exists but is farther away, making same-day risk wider.",,2.741105606313887,4.660995195236639,9.70965743839084,1.1369314993212143,4.467586932780055,,2.0,1.118781679751324,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,5.08565786685482,-42.06065448519285,1.1369314993212143,4.453421436077443,-5.795559612934009,2.741105606313887,4.660995195236639
AMRZ,Amrize Ltd Ordinary Shares,,NYSE,40.0,95.0,100.0,70.0,86.75,169966994.7231682,False,rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,55.439998626708984,53.31999969482422,,breakout,Overhead supply is nearby and may limit same-day path.,,2.6898514814798657,3.096912880148106,1.8951220022339288,2.005520116264403,1.858322630890441,4.103042170268711,2.0,-0.07354461477518948,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,0.6071790990239245,2.4842414689884906,0.6071790990239245,1.8951220022339288,-39.21323421060387,2.6898514814798657,3.096912880148106
AAP,Advance Auto Parts Inc.,,NYSE,37.0,80.0,80.0,90.0,84.0,147367528.15052032,False,rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,57.90999984741211,55.33000183105469,,breakout,No bullish ignition candle was detected.,,0.12675768496914763,2.8787850474033982,4.024283839407672,0.45099447467749076,,,,,True,True,True,False,False,no_clear_structure,True,True,True,False,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,Structure type is no_clear_structure.,8.100603721318134,30.392415831122864,0.45099447467749076,2.7982300199957955,-120.10894415617979,0.12675768496914763,2.8787850474033982
AMT,American Tower Corporation (REIT) Common Stock,,NYSE,40.0,70.0,70.0,95.0,80.0,550330798.5985733,True,,breakout_only,187.83999633789062,182.14766435041838,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.27003349931975507,1.8569189129823416,6.047540179230115,1.2450803502358054,4.17722204009674,,,,True,True,True,False,False,trendline_compression,True,True,True,False,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,Volume is only slightly quieter during the recent structure.,,1.2774188178628743,25.80523109334504,1.2450803502358054,1.8230660546179722,1.1422801767769553,0.27003349931975507,1.8569189129823416
ALKS,Alkermes plc - Ordinary Shares,,NASDAQ,37.0,110.0,87.0,45.0,75.95,95355661.14573479,False,focus_structure_score_below_65: 45; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 45; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,,36.25,41.31999969482422,pullback,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby breakout trigger was identified within 5% of current price.; No nearby invalidation level; same-day risk is too wide.",,3.360223927178274,8.857244679870258,12.270086476935028,,1.2826688848288192,,15.0,7.913289910808419,False,True,False,True,False,no_clear_structure,True,True,False,False,True,True,False,medium,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; EMA structure is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Extension risk is medium.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,3.654409843617712,-54.98062132629473,3.654409843617712,8.136568866792304,-5.401242459885491,3.360223927178274,8.857244679870258
AMN,AMN Healthcare Services Inc,,NYSE,37.0,115.0,68.0,55.0,74.55,42025105.925,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 55; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 55; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,31.649999618530273,25.540000915527344,30.25,pullback,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.84791310493602,12.493883339186818,15.570244907347618,4.628097912496765,24.595043087793776,,17.0,4.418366299565135,True,False,False,True,True,no_clear_structure,True,True,True,False,True,True,False,high,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Price compression is present.; A nearby trigger level exists.,Volume is only slightly quieter during the recent structure.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,3.0413225662609733,32.51313010850404,0.7011539679913525,11.106277931143849,12.211701095816919,5.84791310493602,12.493883339186818
ACVA,ACV Auctions Inc. Class A Common Stock,,NYSE,37.0,90.0,77.0,60.0,73.45,28199265.01393743,False,focus_structure_score_below_65: 60; ready_today_structure_below_70: 60,ready_today,,5.9504598089386915,,retest,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,1.125729301738354,6.210282475441109,11.39240897899434,,15.348105074082907,,2.0,-3.805174938629896,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,,7.594936804365715,-34.976528219235426,7.594936804365715,5.847157479198961,13.247832496252665,1.125729301738354,6.210282475441109
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,NASDAQ,42.0,60.0,58.0,95.0,73.3,393737893.07501984,False,today_focus_score_below_70: 58; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,71.29000091552734,67.65909445268183,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.562373489057455,4.952634543301704,11.519504378387014,0.3943089295501023,,,,,True,True,True,False,False,no_clear_structure,True,True,True,False,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,Volume dry-up was not detected.,Structure type is no_clear_structure.,5.928740962992651,28.08459208218338,0.3943089295501023,4.718923507592676,-2.987376080954629,0.562373489057455,4.952634543301704
ACHR,Archer Aviation Inc. Class A Common Stock,,NYSE,47.0,95.0,75.0,45.0,68.0,380615589.9727778,False,focus_structure_score_below_65: 45; ready_today_structure_below_70: 45,ready_today,7.090000152587891,6.361370142678375,,retest,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,1.9749587912826883,5.952013794945943,17.062309459685466,5.1928841744109056,13.056374888537537,,19.0,5.14820486055525,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,,5.1928841744109056,2.3447899986495213,5.1928841744109056,5.61765046435565,-51.85510433504963,1.9749587912826883,5.952013794945943
ADTN,"ADTRAN Holdings, Inc. - Common Stock",,NASDAQ,33.0,95.0,74.0,45.0,67.65,52527703.61141386,False,focus_structure_score_below_65: 45; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 45; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,18.690000534057617,15.829999923706055,18.690000534057617,pullback,"Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.",,6.718426268902844,11.7246155277696,13.3077780652612,2.3548756833838835,9.41949228803387,,4.0,-5.87628562919943,True,False,False,True,False,no_clear_structure,True,True,False,False,True,True,False,medium,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Extension risk is medium.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,9.41949228803387,-125.58916403558928,2.3548756833838835,10.494209778556273,-7.793785032597467,6.718426268902844,11.7246155277696
