Symbol,Company,Sector,Exchange,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
EMR,Emerson Electric,Industrials,,40.0,105.0,84.0,60.0,79.65,444820912.5769043,False,focus_structure_score_below_65: 60,breakout_only,148.49000549316406,139.36000061035156,,breakout,Bullish ignition candle is older than 10 trading days.,,1.1666708291175887,2.1390057918063476,1.8798832583912573,4.5483396250009855,0.9575446187709225,,19.0,-4.027303529049798,True,True,True,False,False,trendline_compression,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as trendline_compression despite imperfect compression.",60,60,,2.4924372142132833,6.895549750766872,False,True,loose,acceptable,acceptable,2.4924372142132833,1.8798832583912573,-3.471857281150603,1.1666708291175887,2.1390057918063476
MSFT,Microsoft,Information Technology,,50.0,90.0,85.0,60.0,76.25,16106484361.246033,False,focus_structure_score_below_65: 60; ready_today_structure_below_70: 60,ready_today,,412.6700134277344,,retest,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; No nearby breakout trigger was identified within 5% of current price.",,1.3998725780798527,4.003272704407368,6.80021072072824,,2.6783910152974433,,2.0,-1.9833850545200815,False,True,True,False,False,high_tight_flag,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",60,60,,5.667220299559239,-54.33944282046359,False,True,none,acceptable,strong,5.667220299559239,3.8491795501332637,-12.476704172344345,1.3998725780798527,4.003272704407368
PLTR,Palantir Technologies,Information Technology,,47.0,85.0,90.0,50.0,72.75,6831147842.151108,False,focus_structure_score_below_65: 50,breakout_only,152.67999267578125,142.29702668686332,,breakout,"Support exists but is farther away, making same-day risk wider.",,3.3853672779138977,6.93828375192147,11.493727872524484,0.3351478694701093,4.711834300599049,,2.0,-2.7916157561089006,True,True,True,False,False,high_tight_flag,True,True,False,False,True,True,False,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.; Invalidation is too far for clean same-day risk.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",50,50,,7.577051270314006,-114.66204277060675,False,True,none,acceptable,acceptable,0.3351478694701093,6.488119603655784,4.375992656725036,3.3853672779138977,6.93828375192147
GE,GE Aerospace,Industrials,,45.0,70.0,55.0,85.0,70.75,1684649939.6725464,False,today_focus_score_below_70: 55,breakout_only,319.1400146484375,305.550195990711,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Active overhead supply is within 3% of current price.",,0.8687041710003118,3.982915209899618,11.151325865433925,0.4469386322166091,,1.0921569958992627,,,True,True,True,False,False,high_tight_flag,True,True,False,True,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.,,Strong impulse/digestion setup with nearby trigger and EMA hold classified as high_tight_flag.,85,85,,2.731962936683896,-6.767703385062429,False,True,none,acceptable,strong,0.4469386322166091,3.8303554020001407,22.219732996608997,0.8687041710003118,3.982915209899618
CCL,Carnival Corporation,Consumer Discretionary,,47.0,70.0,64.0,70.0,67.9,880822517.5495148,False,today_focus_score_below_70: 64,breakout_only,28.049999237060547,26.829999923706055,,breakout,No bullish ignition candle was detected.; Demand exists but is not near enough for tight same-day risk.; Narrow-spread high-volume action needs visual review for absorption or distribution.,,1.5657434248840918,3.7270660627801933,2.9305335883825667,1.4833569336678787,10.600580209394316,,,,True,True,True,False,False,trendline_compression,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as trendline_compression despite imperfect compression.",70,70,,2.7496390942992166,13.680485318299906,False,True,loose,acceptable,acceptable,1.4833569336678787,2.9305335883825667,1.087599991567656,1.5657434248840918,3.7270660627801933
UPS,United Parcel Service,Industrials,,42.0,60.0,68.0,60.0,62.8,639332502.4411392,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 60,breakout_only,109.83999633789062,105.2699966430664,,breakout,No bullish ignition candle was detected.,,3.3517339022253845,5.772296503493135,3.3599592874833273,0.8353952356241701,,,,,True,True,True,False,False,high_tight_flag,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",60,60,,1.2944056079726707,-22.415068026268713,False,True,none,acceptable,strong,0.8353952356241701,3.3599592874833273,9.914838327153308,3.3517339022253845,5.772296503493135
SWKS,Skyworks Solutions,Information Technology,,42.0,95.0,64.0,40.0,62.15,456809621.4577484,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 64; focus_structure_score_below_65: 40; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,needs_more_time,85.18000030517578,73.2760829912512,,no_trade,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,2.0741992447907087,7.975207621330638,22.219415091987138,7.659248417879438,11.615270629908137,,20.0,9.040801279921396,False,True,True,False,False,no_clear_structure,True,True,False,False,True,False,False,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.,No clear compression/base detected.; Volume dry-up was not detected.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,Evidence did not satisfy a valid focus-structure pattern; classified as no_clear_structure.,40,40,,7.659248417879438,-26.280195319936173,True,True,none,acceptable,strong,7.659248417879438,7.386147058220727,-5.628327788488963,2.0741992447907087,7.975207621330638
F,Ford Motor Company,Consumer Discretionary,,43.0,110.0,74.0,20.0,61.4,1383179637.32872,False,focus_structure_score_below_65: 20; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,,12.720000267028809,16.149999618530273,pullback,"Bullish ignition candle is older than 10 trading days.; Current price is extended more than 10% above the ignition close.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby breakout trigger was identified within 5% of current price.; No nearby invalidation level; same-day risk is too wide.",,2.1167969919750895,11.607382227428742,21.238386579067992,,14.551080391971372,,14.0,19.012527499835553,False,True,False,True,False,no_clear_structure,True,True,False,False,True,False,False,medium,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; Extension risk is medium.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,Evidence did not satisfy a valid focus-structure pattern; classified as no_clear_structure.,20,20,,10.092886109080744,3.2050698806042277,False,True,loose,acceptable,acceptable,10.092886109080744,10.400192169883283,-35.89663176532787,2.1167969919750895,11.607382227428742
DAL,Delta Air Lines,Industrials,,42.0,65.0,47.0,70.0,60.7,600958976.9890594,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 47,needs_more_time,,75.62237743180015,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,0.7796696730011599,5.815235331938928,15.321163485575129,,13.496620689122562,,,,False,True,True,False,False,high_tight_flag,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",70,70,,4.761316355689216,-4.594855098361417,False,True,none,acceptable,strong,4.761316355689216,5.495650332106461,-12.95087443249512,0.7796696730011599,5.815235331938928
AMD,Advanced Micro Devices,Information Technology,,43.0,90.0,68.0,35.0,60.3,20262177578.147583,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 35; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 35; structure_disqualifier: Structure type is extended_no_base.,pullback_only,527.2000122070312,393.3599853515625,521.5399780273438,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,4.865648106399867,16.08212959485329,24.577213267639653,1.085254135473157,50.49660552345132,,,,True,False,False,True,True,extended_no_base,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",35,35,,1.085254135473157,12.844483210132008,False,True,loose,tight,weak,1.085254135473157,13.854095932752697,30.320716296372986,4.865648106399867,16.08212959485329
