Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
AOS,A. O. Smith,Industrials,,56.90999984741211,57.63095219930013,61.68559951782227,7843827200.0,1.4115794045584542,1538762.5,False,False,True,True,False,True,False,price_below_21sma; price_below_50sma; atr14_below_1.5,XLI,0.5364300299616875,2.4885980752935355,-0.4176851765942291,15.712491934323536,22.851234829063372,4.58493255194082,4.0,,,,,,87570973.64020348,False,primary_gate_failed: price_below_21sma; price_below_50sma; atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,Health Care,,87.38500213623047,86.26595270066034,93.09870025634766,152208343040.0,1.8821422031947546,11612135.55,True,False,True,True,True,True,False,price_below_50sma,XLV,-0.7224927728673891,2.062461617128042,-5.943971049010877,-4.877968494907925,11.298218037424501,-0.6669264298866706,7.0,,,,,,1014726489.8429478,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,Accenture,Information Technology,,178.24000549316406,177.1104779924665,184.43760009765626,109695164416.0,8.172857012067523,5928250.55,True,False,True,True,True,True,False,price_below_50sma,XLK,6.311345828061743,20.99352275951216,40.210249183975556,36.944301131489674,68.33656140187236,30.151487001994866,1.0,,,,,,1056651410.5968529,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,AES Corporation,Utilities,,14.704999923706055,14.545476186843146,14.424699954986572,10486983680.0,0.06714275905064174,11207256.9,True,True,True,True,False,True,False,atr14_below_1.5,XLU,-1.9384138498696024,-4.539572117153745,-6.357099722899817,0.022592523538333964,7.726938976077324,-2.8817311720284233,11.0,,,,,,164802711.85945415,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Agilent Technologies,Health Care,,138.8800048828125,119.50000036330451,117.35620025634766,39224147968.0,5.005001613071987,2645734.2,True,True,True,True,True,True,True,,XLV,-0.7224927728673891,2.062461617128042,-5.943971049010877,-4.877968494907925,11.298218037424501,-0.6669264298866706,7.0,,,,,,367439578.614624,False,not_technically_scored_after_primary_gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Air Products,Materials,,284.5400085449219,292.3019060407366,294.499599609375,63361564672.0,5.922138759068081,1077102.0,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLB,1.4263375105187492,2.487657025813572,-0.019257168501174426,16.416236083819303,19.539437557687144,4.621354823448113,3.0,,,,,,306478612.28375244,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNB,Airbnb,Consumer Discretionary,,133.63999938964844,135.22095380510603,134.67220031738282,79315992576.0,4.438851492745536,4149540.7,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLY,-3.895516652792952,-0.7687723155899162,0.36515426925556316,-1.2552836619132202,9.02006605496226,-0.12371050515399218,6.0,,,,,,554544616.6153214,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAM,Akamai Technologies,Information Technology,,162.1475067138672,145.97654833112443,121.80135040283203,23573889024.0,6.8778566632952005,7208704.75,True,True,True,True,True,True,True,,XLK,6.311345828061743,20.99352275951216,40.210249183975556,36.944301131489674,68.33656140187236,30.151487001994866,1.0,,,,,,1168873501.8489113,False,not_technically_scored_after_primary_gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albemarle Corporation,Materials,,169.7239990234375,183.3897174653553,184.96888122558593,20016340992.0,7.4992861066545755,2201059.8,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLB,1.4263375105187492,2.487657025813572,-0.019257168501174426,16.416236083819303,19.539437557687144,4.621354823448113,3.0,,,,,,373572671.3457275,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,Alexandria Real Estate Equities,Real Estate,,52.099998474121094,47.64619064331055,46.154800186157225,9079439360.0,1.7846423557826452,1937558.25,True,True,True,True,True,True,True,,XLRE,-1.8709452816179084,-0.6465600051508757,0.07998137283951046,6.5831053937999595,4.797791838939625,0.5939270772569671,5.0,,,,,,100946781.86852074,False,not_technically_scored_after_primary_gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGN,Align Technology,Health Care,,165.6699981689453,165.26095290411087,173.5082000732422,11864975360.0,6.033570425851004,966424.75,True,False,True,True,True,False,False,price_below_50sma; avg_volume_below_1m,XLV,-0.7224927728673891,2.062461617128042,-5.943971049010877,-4.877968494907925,11.298218037424501,-0.6669264298866706,7.0,,,,,,160107586.56292343,False,primary_gate_failed: price_below_50sma; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
