Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,SectorAlignmentScore,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,BlueprintSetupScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,BlueprintSetupType,BlueprintSetupMatch,BlueprintSetupEvidence,BlueprintSetupWarnings,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21,BlueprintRangePosition,BlueprintBaseRangePct,BlueprintShortRangePct
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Financial Services,NASDAQ,10.520000457763672,10.437999906994047,10.395659980773926,291141024.0,0.01964289801461356,22260.1,True,True,True,False,False,False,False,market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1863026397824772,-1.4928275114951206,-1.339803158658226,-3.9326867845729585,-0.333460514852435,-1.5136644589450388,8.0,,,,,,,,234176.26218986508,False,primary_gate_failed: market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Financial Services,NASDAQ,9.949999809265137,9.941428547813778,,338596832.0,0.01357133047921317,5136.4,True,False,True,True,False,False,False,missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1863026397824772,-1.4928275114951206,-1.339803158658226,-3.9326867845729585,-0.333460514852435,-1.5136644589450388,8.0,,,,,,,,51107.17902030944,False,primary_gate_failed: missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Financial Services,NASDAQ,9.890000343322754,9.919047401064919,,310166912.0,0.006428514208112445,1710.0,False,False,True,True,False,False,False,price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1863026397824772,-1.4928275114951206,-1.339803158658226,-3.9326867845729585,-0.333460514852435,-1.5136644589450388,8.0,,,,,,,,16911.90058708191,False,primary_gate_failed: price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Financial Services,NASDAQ,9.954999923706055,,,290885088.0,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,XLF,-1.1863026397824772,-1.4928275114951206,-1.339803158658226,-3.9326867845729585,-0.333460514852435,-1.5136644589450388,8.0,,,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADX,"Applied Aerospace & Defense, Inc. Common Stock",Industrials,NYSE,20.174999237060547,,,,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,XLI,0.38439366449487533,2.3336095408039714,-0.5682786799244166,15.537505546726926,22.66545286693329,4.426773832528863,4.0,,,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,NASDAQ,13.539999961853027,13.367619105747767,12.236800060272216,8955154432.0,0.6278572763715472,66082850.7,True,True,True,True,False,True,False,atr14_below_1.5,XLI,0.38439366449487533,2.3336095408039714,-0.5682786799244166,15.537505546726926,22.66545286693329,4.426773832528863,4.0,,,,,,,,894761795.9571394,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAME,Atlantic American Corporation - Common Stock,Financial Services,NASDAQ,1.975000023841858,2.278809530394418,2.387499988079071,40284524.0,0.0939285329410008,7260.65,False,False,False,False,False,False,False,price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1863026397824772,-1.4928275114951206,-1.339803158658226,-3.9326867845729585,-0.333460514852435,-1.5136644589450388,8.0,,,,,,,,14339.783923107385,False,primary_gate_failed: price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMI,Acadian Asset Management Inc. Common Stock,Financial Services,NYSE,71.77999877929688,70.9076185680571,65.57699989318847,2557448704.0,2.566777910505022,390859.8,True,True,True,True,True,False,False,avg_volume_below_1m,XLF,-1.1863026397824772,-1.4928275114951206,-1.339803158658226,-3.9326867845729585,-0.333460514852435,-1.5136644589450388,8.0,,,,,,,,28055915.96687622,False,primary_gate_failed: avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,Alcoa Corporation Common Stock,Basic Materials,NYSE,81.6449966430664,69.26357105800084,67.7622998046875,21545287680.0,3.6737578255789622,4378156.55,True,True,True,True,True,True,True,,XLB,1.24071574393676,2.300092923461894,-0.2022333319324554,16.203181093063467,19.320666751994064,4.429885810751937,3.0,86.21494290537596,33.0,85.0,59.0,20.0,90.0,58.3214942905376,357454576.8275692,False,today_focus_score_below_70: 59; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,76.20999908447266,81.6449966430664,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.982152391661799,13.756972088366437,16.504377522398293,,2.4973898209136314,,,,False,True,True,True,True,extended_no_base,big_base_highs_breakout,True,Price is consolidating near recent highs.; A prior bullish impulse is present.; The pullback after impulse is controlled.; Volume supports continuation rather than distribution.; Price is holding the EMA structure.,,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",20.0,20.0,,3.3498692177162726,-15.742998820374577,False,True,none,acceptable,weak,3.3498692177162726,6.6568654321272565,-8.650888292910741,5.982152391661799,13.756972088366437,0.9342863844175571,53.24820833383272,38.532256550322465
A,"Agilent Technologies, Inc. Common Stock",Healthcare,NYSE,138.19000244140625,119.46714310418992,117.34240020751953,39029268480.0,5.005001613071987,2653328.15,True,True,True,True,True,True,True,,XLV,-0.6620072953813061,2.12464384648432,-5.886666791677653,-4.820014768472502,11.366027212426676,-0.6064070982388436,7.0,49.696796450880576,33.0,70.0,54.0,5.0,90.0,45.66967964508806,366663423.5263519,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 5; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 5; structure_disqualifier: Structure type is extended_no_base.,pullback_only,139.35000610351562,112.9000015258789,138.19000244140625,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,6.241851380331642,12.618757684242542,18.30089041806807,0.8394266166984243,12.381503949684314,,,,True,False,False,True,True,extended_no_base,big_base_highs_breakout,True,Price is consolidating near recent highs.; A prior bullish impulse is present.; The pullback after impulse is controlled.; Volume supports continuation rather than distribution.; Price is holding the EMA structure.,,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",5.0,5.0,,0.5644393700822148,-167.52212424048923,False,True,none,tight,weak,0.8394266166984243,11.204845394958696,-51.0751621353605,6.241851380331642,12.618757684242542,0.7147305033371057,28.610990370063316,28.610990370063316
